Date,AAPL,AMD,AMZN,ASML,AVGO,GOOGL,META,MSFT,NVDA,QQQ,SMH,SOXX,SPY,TSLA,XLK
2015-01-02,24.237552642822266,2.6700000762939453,15.425999641418457,96.4048843383789,7.560338973999023,26.278942108154297,77.90579986572266,39.85844802856445,0.483011394739151,94.784423828125,24.292726516723633,27.559072494506836,170.589599609375,14.620667457580566,18.106761932373047
2015-01-05,23.554738998413086,2.6600000858306885,15.10949993133545,93.16445922851562,7.439482688903809,25.778228759765625,76.65453338623047,39.49191665649414,0.4748532176017761,93.39407348632812,23.86027717590332,27.039432525634766,167.50880432128906,14.005999565124512,17.830352783203125
2015-01-06,23.556962966918945,2.630000114440918,14.76449966430664,90.40872955322266,7.27028226852417,25.14203643798828,75.62175750732422,38.91228103637695,0.460456520318985,92.14179992675781,23.298547744750977,26.43663787841797,165.9310760498047,14.085332870483398,17.615381240844727
2015-01-07,23.88728141784668,2.5799999237060547,14.920999526977539,90.9203872680664,7.4666748046875,25.068090438842773,75.62175750732422,39.40668487548828,0.45925676822662354,93.32960510253906,23.601699829101562,26.69794464111328,167.9987335205078,14.063332557678223,17.76455307006836
2015-01-08,24.80507469177246,2.609999895095825,15.02299976348877,92.82334899902344,7.839820861816406,25.155433654785156,77.6376724243164,40.56596374511719,0.47653284668922424,95.11587524414062,24.190185546875,27.490779876708984,170.9799041748047,14.041333198547363,18.155025482177734
2015-01-09,24.831687927246094,2.630000114440918,14.846500396728516,91.63849639892578,7.923661231994629,24.84825325012207,77.20073699951172,40.2249755859375,0.4784524142742157,94.48978424072266,24.118854522705078,27.505626678466797,169.60972595214844,13.77733325958252,18.09798812866211
2015-01-12,24.219812393188477,2.630000114440918,14.570500373840332,92.8592529296875,7.79223108291626,24.666627883911133,76.18780517578125,39.72206497192383,0.4724538028240204,93.50455474853516,23.81123924255371,26.977069854736328,168.28109741210938,13.480667114257812,17.887386322021484
2015-01-13,24.434858322143555,2.6600000858306885,14.737000465393066,92.8592529296875,7.7484235763549805,24.9018497467041,75.91967010498047,39.51750183105469,0.4717338979244232,93.4769515991211,23.677492141723633,26.712791442871094,167.80775451660156,13.616666793823242,17.874229431152344
2015-01-14,24.34174156188965,2.630000114440918,14.66349983215332,92.55406188964844,7.809606075286865,25.106800079345703,75.7508544921875,39.17652893066406,0.47365352511405945,92.96131896972656,23.58833122253418,26.561349868774414,166.794677734375,12.845999717712402,17.7733211517334
2015-01-15,23.68110466003418,2.5199999809265137,14.34749984741211,91.52179718017578,7.6532440185546875,25.011524200439453,73.53633117675781,38.767372131347656,0.4702942967414856,91.75508117675781,23.71761703491211,26.35052490234375,165.2667236328125,12.791333198547363,17.54517364501953
2015-01-16,23.497098922729492,2.390000104904175,14.536999702453613,92.49124908447266,7.842082977294922,25.331600189208984,74.65848541259766,39.41520690917969,0.4789324104785919,92.8323974609375,23.909320831298828,26.638559341430664,167.43411254882812,12.871333122253418,17.716283798217773
2015-01-20,24.10232162475586,2.240000009536743,14.472000122070312,93.18240356445312,7.921396255493164,25.305797576904297,75.71112823486328,39.543067932128906,0.48037198185920715,93.56901550292969,24.145605087280273,26.91470718383789,167.79116821289062,12.795332908630371,17.86545753479004
2015-01-21,24.28632164001465,2.450000047683716,14.862500190734863,95.67778015136719,7.959919452667236,25.82438087463379,76.2076644897461,39.14242935180664,0.48709040880203247,94.04778289794922,24.457679748535156,27.220556259155273,168.63819885253906,13.104666709899902,17.896163940429688
2015-01-22,24.918142318725586,2.4700000286102295,15.515999794006348,96.58438110351562,7.94632625579834,26.663537979125977,77.11136627197266,40.17384338378906,0.49548858404159546,95.78807067871094,24.676128387451172,27.38387680053711,171.14590454101562,13.441332817077637,18.190113067626953
