Series,GSADF,Episodes,Fraction flagged
AI basket (raw),1.000557330976099,21,0.059868675164156046
AI basket (residual),0.6181893673100454,8,0.00889060688055663
Non-AI tech (raw),-0.25904013584356567,8,0.03089996137504828
Non-AI tech (residual),0.18988639606578697,4,0.006957866254348666
