,AI Basket,SPY
mean daily,0.0014589477932878947,0.0005639805532933233
vol daily,0.01824933553312406,0.011173896815216206
mean ann,0.36765484390854947,0.14212309942991747
vol ann,0.28969922047692365,0.1773801128913524
max dd,-0.45858852914688253,-0.3371725603321515
