Horizon,Brier,AUC,Base rate,Prob mean,Prob last,Method
3m,0.03690315220089778,0.28846256186472247,0.03700097370983447,0.007921488750244576,0.011864572109972337,logit
6m,,,0.03083542488347078,,,empirical
12m,,,0.03513804230907135,,,empirical
