,0
0,591.7822931362042
1,572.9633355385514
2,515.8565991727023
3,601.3616077713996
4,632.1767890699646
5,663.5502592463408
6,699.9999999999989
7,644.5355654635613
8,516.0649475479673
9,539.9955879802288
