Universe,Breadth mean,Breadth last,Dispersion mean,Dispersion last,HHI mean,HHI last
AI basket,0.7131313131313131,0.7272727272727273,0.015975452515467125,0.02099002810942891,0.15699721347019122,0.1761271721058072
Non-AI tech,0.6127496159754224,0.5714285714285714,0.012237457769900843,0.039207277954466394,0.2266087923273103,0.27987946997990387
AI semis,0.733763440860215,1.0,0.014056969505254629,0.019373868037918164,0.29630958035489713,0.36118080514622974
Non-AI semis,0.5757706093189964,0.8,0.013603236198616251,0.0380535514635563,0.3029230925355916,0.4820616320578257
