Universe,SADF,SADF pre-2020,SADF post-2020,DD15 rate,DD20 rate,DD30 rate
baseline,0.7113205411545535,0.42267230408235335,0.8709420163259027,0.039082108282538545,0.017210469702402295,0.0
semis,1.0527384261467514,1.0527384261467514,1.1111527364416638,0.05521692362854069,0.027249910362136965,0.0032269630692004303
no tsla,0.35773398578409604,0.35773398578409604,1.125598161851096,0.04266762280387235,0.016851918250268914,0.0
