Series,SADF,GSADF
AI raw,0.7113202475107622,1.0005576641739478
AI residual,-0.44288059091069826,0.6181574246296847
Non-AI tech raw,0.6804371700835897,-0.2590397717801514
Non-AI tech residual,0.14629385085070093,0.1898856439110636
AI semis raw,1.0527368086371645,1.2112597634399045
AI semis residual,0.6420823330589257,0.9612170062812956
Non-AI semis raw,0.6787038745870537,1.5458954209231355
Non-AI semis residual,1.5316268508539586,1.5672870489717834
